	WT_01	WT_02	WT_03	WT_04	WT_08	WT_14	WT_16	WT_15	WT_30	WT_180	gene_length
b0001	111.342231642492	113.435357177717	73.5769910405957	79.2676247039496	76.7282081958518	99.8895666142704	52.0821002924448	10.6487233243393	4.7790154867027	0	66
b0002	41.4894575803727	39.6171291536866	39.6222547573658	46.1891875640955	23.9872852489707	29.8402572938383	29.6181652159732	1.74772878769763	0.170746714269485	0.083504184196811	2463
b0003	40.586099515065	55.3681006707143	51.7972187743045	43.9595604355941	25.6308550589499	37.7733285924255	26.4038891410987	2.16564101465438	1.12688625833765	0.220381116667198	933
b0004	33.5202123796835	38.2965311464581	32.8675584628086	46.3640535057951	23.95842008935	32.8221993996201	29.3054552927574	1.57000407987053	0.326773884205394	0.399524329562326	1287
b0005	0.873272066003777	4.20130721437937	2.56091165523958	1.99415283895893	0.757808907935646	1.3702266929835	2.25046112374761	0.295797870120535	0	0.346254418954016	297
b0006	2.00279385021716	1.12413355195556	1.88246401743925	2.41377187263948	0.506912715443439	1.3617619721002	1.47465406233434	0.113065595142598	0.135314668266519	0	777
b0007	0.120776267320788	0.087158095908642	0.163527177272501	0.10344877612261	0.07860551265118	0.113703991095809	0.066647794322026	0.061320734583942	0.367357770725112	0.215547746399649	1431
b0008	37.42715604217	33.2874050159548	32.7491987205466	35.8524535816343	23.3562467204217	25.2535180567494	24.8218156394918	3.03889044411625	0.771409262681781	0.323321619599473	954
b0009	2.0583837857127	1.59155549508194	0.597005837885007	1.42691200690876	0.765517537308023	0.830519345126439	0.162322708234161	0.448221186027612	0.536422251356474	0	588
b0010	0.762351557075667	1.21035580574636	0.722269410886948	0.696354380874952	0.099199369222642	1.00477864715659	0.673543755225749	0	0.37082737760374	0.181302803865735	567
b0011	0	0	0	0	0.157604896876132	0	0.133677524428133	0.122992877388996	0.147195443335763	0	714
b0013	0	0	0.14445388217739	0	0.277848261611688	0	0	0	0	0	405
b0014	60.9732544744433	70.8186668679137	55.2108120329679	71.5227366324153	37.1299919225656	51.2464783175828	47.1193221980504	7.1032779294909	1.04203859921482	1.44836567762054	1917
b0015	8.10264375507435	9.65352339294505	5.8972171138396	13.0479210864532	2.88550314944727	3.74213915433931	4.22115428565635	0.466055153249016	0.557765590640159	0	1131
b0016	5.12663699059083	6.2221022941796	6.25545572079471	7.13944621242365	2.42658649863622	1.75504592698563	2.40208963002752	0.236761288973817	0.188830725879308	0.092348223409773	1113
b0018	0	0	0	0	0	0	0.454599067001671	0	0	0.489610124336225	210
b0019	2.37056925550179	1.28303954356566	1.50398197458565	2.15687736895714	0.867867879120835	1.39480694016384	0.327223483010865	1.95725593953531	2.43250984072587	6.96149291258483	1167
b0020	0.763389005327527	0.688592630310441	0.774925747039095	0.708150305251528	0.248420428314217	0.628831091772527	0.316147345272534	0.678744979076701	0.928382689039134	0.45402829215384	906
b0021	5.14600269129223	4.70391682113672	4.06296289749965	4.40669082829542	2.45607059930138	4.52170739107206	1.70505682408083	0.174298477671263	1.25158182676352	0.204029927889744	504
b0022	0.313222918040955	2.71256957331135	2.33179808593757	1.78819303802398	0.203856673110398	0.589763149234239	0.691876672861607	0	0	0.37258086126237	276
b0023	175.200370343297	223.798594240447	153.137731107441	157.787466770956	201.837856225351	258.664777968657	228.944435438924	39.5999288808797	1.19470130187448	0.389446238366159	264
b0024	0	0	0	0	0	0	0	0.401132484398682	0	0	219
b0025	10.2789508254152	12.716285086754	9.00581317210168	9.85009040776231	9.19864553595391	10.3683063834738	9.62946047218054	1.11905948012931	0.892845503433786	0	942
b0026	10.004891578882	12.4468873357637	10.6130600725857	12.5271729772597	6.41172281468479	7.85884220776445	8.40602467182507	1.49691116987936	0.335815890010305	0.036404533504521	2817
b0027	3.66772538641167	4.53739931363481	6.855328403648	6.97953493635626	2.84178340475867	4.60391285349638	3.27920515816812	0.354922303322531	0	0	495
b0028	4.80295313601028	8.04125459232147	5.2005737865467	8.445240234311	2.50074688924056	4.883492817286	3.60709702880112	0.585621800482176	0.467240392988665	0	450
b0029	2.81814172215871	3.60817048008913	3.5066779595723	4.25566351200955	2.54412902972306	1.45487390181645	1.30517005814868	0.184752872249327	0.221108583810793	0.108082386195625	951
b0030	0.47238477068059	0.272704393140068	0.383630662388474	0.323622912707992	0.122944198384273	0.177840530096165	0.312996375053871	0.672068222875584	0.689400372823285	0	915
b0031	9.88644957012791	14.8004054831951	8.46994719119333	17.352397021929	8.28261279009764	9.01045120562745	10.8028626848215	1.60312430471028	0.127849756497348	0.125050600964682	822
b0032	17.6820086426515	13.9004997026753	12.4753391611666	13.3590077448028	7.59041163287873	6.58775041897186	5.40152682635676	0.382244292513943	0	0.089468768782297	1149
b0033	18.9973201179689	18.6664940509624	16.4153787672711	15.9003137956393	9.2207023440851	8.08356426890656	6.28255719628418	1.30873206747419	0.065186553477267	0.031879676232773	3222
b0034	0.654889208987092	0.315066846341191	0.147730276426856	0.249244427203807	1.4208635686955	0.411027312121572	0.241096963700739	0.221826439576582	0	0.51933020959839	396
b0035	0	0	0	0	0	0	0	0.148645677530129	0	0	591
b0036	0.219939029394477	0	0.074420955095034	0.25116928515647	0	0	0	0	0	0	786
b0037	0.111266325012064	0.160590507422223	0	0.063520312437881	0	0.052334764691915	0.184284015818783	0.05648887154366	0.202919432598588	0.066124618766686	1554
b0038	0.141957502462945	0.05122175858339	0	0.12156218301049	0.184782035466339	0	0	0	0.086319613556187	0.084429723184214	1218
b0039	0.075560814343857	0.054528400733109	0.051135153107752	0.0431365602725	0.147645572796491	0.142353815623887	0.167001421589146	0.153653244680967	0	0.089880119443365	1143
b0040	0	0.041177053185185	0	0	0	0	0	0	0	0.067872859076225	1515
b0041	0.112130865221948	0.080919148456342	0	0	0	0.105564836400332	0	0	0	0	771
b0042	0	0	0.062075969619364	0.052366007378859	0	0	0	0	0	0	942
b0043	0.067174774307983	0	0.045459970211354	0	0.043719744688595	0	0	0	0.081693471051349	0.079904865912465	1287
b0044	0	0	0	0	0	0	0	0	0	0	288
b0045	0	0	0.043880280126789	0.037016499089674	0	0	0	0	0	0.077128248950256	1332
b0046	0.651171686084591	1.29239796474411	0.110168756638325	0.371744361524568	0	0.153260282915826	0	0	0	0	531
b0047	0.696041322977568	0.837204358624246	0.659491356785555	0.529829490303537	0.241612076824745	0.655283344532826	0.205004032105143	0.188618362681553	0.620744212467389	0.055120988583116	1863
b0048	0.720421356896295	1.68969413850663	1.58454616889844	2.46776660597828	0.937751949781368	0.84777435308085	0	0.732071176630359	1.9713675446754	0.214210856751177	480
b0049	2.46125952351862	1.70217203341123	2.29025808741754	2.22479030595366	1.33488703087803	0.675794014365428	0.339731879939497	0.104192537559535	0.124695568425868	0.609930192698624	843
b0050	0.457428225049598	0.990308129103708	1.23824299813782	0.130544853456251	0.446537829921093	0.430642674937671	0.505205558392322	0.929650448950253	0	0	378
b0051	3.15522594999246	2.96006861874412	3.20290940701459	1.80127220103567	0.889868419884336	1.18815380244568	1.27767068169489	0.213744050491019	0.639459061691508	0.625458680153942	822
b0052	1.57182055559001	0.756222820693381	1.83203094881353	1.69501017098224	0.73884680502695	0.164410924848629	0.482193927401479	0.177461151661265	0	0	990
b0053	14.7784503477562	16.4820513794883	13.3652312421379	9.39552779894112	10.7550571933944	7.71543030203015	8.08682184027989	2.86696397193749	2.8592714867972	2.47705084328642	1287
b0054	12.8120536403752	12.610347759014	10.8070109107461	12.9308502386656	5.61475181884276	7.46515129514425	7.29812444615391	3.65578757627734	3.43764443950436	2.4016708346457	2355
b0055	0.847508767749236	0.458687416693156	0.286743003868524	1.69352951101866	0.344750161785098	0.299195326605722	0	0.107618767715371	0.128796012918793	0	816
b0058	0.130977841797418	1.03978298240045	0.620525668032966	1.04692530492023	0.596771701630937	0.123308193636472	0.867949069322662	0.266191727491898	0.159286497609772	0	660
b0059	1.01107977545928	1.07303657232122	0.704366256595218	1.2902964476018	0.870962584343322	0.503895067196961	0.656834064672232	0.241681004069377	0.289239046154775	0.106025632890285	2907
b0060	0.294030125381531	0.291733182869586	0.174116951543099	0.419668389012667	0.16745168622041	0.034591407455776	0.081161354117081	0.074674246986176	0.223421655063212	0.043706007738478	2352
b0061	0	0	0	0	0	0	0	0	0	0.147674887323423	696
b0062	0	0	0	0	0	0	0	0	0	0	1503
b0063	0	0	0	0	0	0	0	0	0	0	1701
b0064	1.57363609003076	0.851678716713584	1.06494514515709	1.12298187171648	0.256016522951232	0.462955119078713	0.325791223820563	4.29763469213735	2.3922413730133	0.467911376964886	879
b0065	0.678058886611982	0.652406735087096	0.382343507504755	0.193522257240817	0	0.5318937593494	1.24807065842866	0.574113181240777	0.687087301570865	0.806555808689143	765
b0066	0.123629250013405	0.803264484483729	1.00439035858212	0.211783730125056	0.643923755748109	0.465722431675175	0	0	0	0	699
b0067	1.28790555066412	1.31666747033356	1.05318523008311	1.47054212050246	0.454021389822745	0.505197331948237	0.474077791989771	0	0	0.127621542596357	1611
b0068	2.10861357190695	3.04335856723234	2.85397341944636	3.51103961632166	1.42952874331846	0.661713276742253	1.55256896228674	0.1785153763246	0.320465508062433	0	984
b0069	0.261004689363964	0.41439088978182	0.211971006532476	0.596064346007994	0.271771385902077	0.098239597174403	0.115249122846254	0.212162713496018	0	0	1656
b0070	0.806529561800737	1.21709386899484	0.496198207673731	0.25116928515647	0.477203545307559	0.207060095452926	0.08097038622504	0.148997085751241	0.089158382820519	0.087206340146423	1179
b0071	25.3940531309003	25.5322685537958	19.9850688091055	21.1755104032427	15.5059923835894	16.520042285409	13.5505087154957	2.89938138033502	0.34696068786287	0.339364295381126	606
b0072	19.808518196903	22.5332065134748	19.8781764467166	23.9202097777439	12.7715671163672	15.62758397305	16.084366191031	0.815179220923209	0.37513810130143	0.073323255335377	1401
b0073	26.2845295470807	22.0533690649184	17.8949633061063	31.6380017719446	12.1603347012421	19.8260855311647	15.4767063585591	1.6090103924139	0	0	1092
b0074	32.7776587934141	32.1075576632502	29.1418301448433	29.2615425303875	16.9302882617134	19.8300737169654	15.8531995577163	1.22940166155829	0.468081509807727	0.196214265329451	1572
b0075	70.5543484424402	60.2380982730312	52.4545453706038	182.671438118998	32.3375314150216	44.9056698520717	29.6328697436603	12.1175218365297	12.0849561770709	4.72816733598122	87
b0076	0	0.066008064045343	0.123800896997714	0	0.059530875007122	0.258336770034429	0	0	0.222475398641768	0.108802249852494	945
b0077	12.0283479401154	11.501312459893	12.9223914550984	11.7308246935105	7.24132888378215	9.53103153995013	7.63871568160758	1.42592670921485	0.365675537086989	0	1725
b0078	1.75717797658913	5.70632850829789	5.8268916515564	5.21641440704901	3.31656745325592	8.27149735082512	5.62811023026245	0.535633981029077	0	0	492
b0080	3.01076128092085	3.53848143704693	2.38685321073665	5.00917136747896	1.5116228327659	2.67249144425976	1.6151109469299	1.57343031002637	1.25536685244929	0.920911292466056	1005
