,1DCNN,GRU
wang_orig_guide-genes,4.206,4.198
wang_orig_guide,4.542,5.316
wang_median-sub_guide-genes,2.874,3.124
wang_median-sub_guide,3.04,3.234
wang_rank_guide-genes,0.058,0.07
wang_rank_guide,0.06,0.07
rousset_E18_orig_guide-genes,3.146,3.962
rousset_E18_orig_guide,3.296,4.322
rousset_E18_median-sub_guide-genes,2.426,2.744
rousset_E18_median-sub_guide,2.44,2.818
rousset_E18_rank_guide-genes,0.054,0.068
rousset_E18_rank_guide,0.054,0.066
rousset_E75_orig_guide-genes,3.352,4.232
rousset_E75_orig_guide,3.92,5.0
rousset_E75_median-sub_guide-genes,2.856,3.17
rousset_E75_median-sub_guide,2.994,3.278
rousset_E75_rank_guide-genes,0.056,0.068
rousset_E75_rank_guide,0.052,0.064
wang_rousset_E18_orig_guide-genes,3.872,4.324
wang_rousset_E18_orig_guide,4.79,5.246
wang_rousset_E18_median-sub_guide-genes,2.752,3.098
wang_rousset_E18_median-sub_guide,2.8,3.166
wang_rousset_E18_rank_guide-genes,0.06,0.07
wang_rousset_E18_rank_guide,0.062,0.07
wang_rousset_E75_orig_guide-genes,4.378,4.622
wang_rousset_E75_orig_guide,4.786,5.182
wang_rousset_E75_median-sub_guide-genes,2.904,3.168
wang_rousset_E75_median-sub_guide,3.062,3.328
wang_rousset_E75_rank_guide-genes,0.062,0.068
wang_rousset_E75_rank_guide,0.06,0.07
wang_rousset_E18_rousset_E75_orig_guide-genes,4.322,4.24
wang_rousset_E18_rousset_E75_orig_guide,4.784,5.318
wang_rousset_E18_rousset_E75_median-sub_guide-genes,2.854,3.192
wang_rousset_E18_rousset_E75_median-sub_guide,3.016,3.298
wang_rousset_E18_rousset_E75_rank_guide-genes,0.06,0.07
wang_rousset_E18_rousset_E75_rank_guide,0.06,0.07
