,RF,GBM
wang_orig_guide-genes,3.042,2.798
wang_orig_guide,3.042,2.798
wang_median-sub_guide-genes,3.042,2.798
wang_median-sub_guide,3.042,2.798
wang_rank_guide-genes,3.042,2.798
wang_rank_guide,3.042,2.798
rousset_E18_orig_guide-genes,2.51,1.82
rousset_E18_orig_guide,2.51,1.82
rousset_E18_median-sub_guide-genes,2.51,1.82
rousset_E18_median-sub_guide,2.51,1.82
rousset_E18_rank_guide-genes,2.51,1.82
rousset_E18_rank_guide,2.51,1.82
rousset_E75_orig_guide-genes,2.824,2.054
rousset_E75_orig_guide,2.824,2.054
rousset_E75_median-sub_guide-genes,2.824,2.054
rousset_E75_median-sub_guide,2.824,2.054
rousset_E75_rank_guide-genes,2.824,2.054
rousset_E75_rank_guide,2.824,2.054
wang_rousset_E18_orig_guide-genes,2.546,2.208
wang_rousset_E18_orig_guide,2.546,2.208
wang_rousset_E18_median-sub_guide-genes,2.546,2.208
wang_rousset_E18_median-sub_guide,2.546,2.208
wang_rousset_E18_rank_guide-genes,2.546,2.208
wang_rousset_E18_rank_guide,2.546,2.208
wang_rousset_E75_orig_guide-genes,3.042,2.798
wang_rousset_E75_orig_guide,3.042,2.798
wang_rousset_E75_median-sub_guide-genes,3.042,2.798
wang_rousset_E75_median-sub_guide,3.042,2.798
wang_rousset_E75_rank_guide-genes,3.042,2.798
wang_rousset_E75_rank_guide,3.042,2.798
wang_rousset_E18_rousset_E75_orig_guide-genes,3.054,2.954
wang_rousset_E18_rousset_E75_orig_guide,3.054,2.954
wang_rousset_E18_rousset_E75_median-sub_guide-genes,3.054,2.954
wang_rousset_E18_rousset_E75_median-sub_guide,3.054,2.954
wang_rousset_E18_rousset_E75_rank_guide-genes,3.054,2.954
wang_rousset_E18_rousset_E75_rank_guide,3.054,2.954
