,linear,elnet,random_forest,random_forest_RFE,GBM
wang_orig_guide-genes,4.012,4.596,4.624,3.496,3.688
wang_orig_guide,4.562,5.216,5.312,4.812,4.696
wang_median-sub_guide-genes,2.774,3.114,3.226,2.856,2.7
wang_median-sub_guide,2.756,3.118,3.174,2.816,2.644
wang_rank_guide-genes,0.06,0.062,0.064,0.06,0.06
wang_rank_guide,0.06,0.068,0.066,0.06,0.054
rousset_E18_orig_guide-genes,2.714,4.272,4.04,3.072,3.044
rousset_E18_orig_guide,2.988,4.548,4.488,4.232,3.542
rousset_E18_median-sub_guide-genes,1.778,2.736,2.696,2.382,2.088
rousset_E18_median-sub_guide,1.84,2.714,2.688,2.386,2.108
rousset_E18_rank_guide-genes,0.044,0.066,0.064,0.054,0.05
rousset_E18_rank_guide,0.046,0.066,0.066,0.058,0.05
rousset_E75_orig_guide-genes,3.07,4.874,4.698,3.636,3.504
rousset_E75_orig_guide,3.33,5.232,5.06,4.54,4.022
rousset_E75_median-sub_guide-genes,1.97,3.178,3.16,2.864,2.424
rousset_E75_median-sub_guide,2.044,3.206,3.208,2.884,2.442
rousset_E75_rank_guide-genes,0.042,0.068,0.064,0.06,0.05
rousset_E75_rank_guide,0.04,0.068,0.06,0.056,0.05
wang_rousset_E18_orig_guide-genes,4.194,4.578,4.636,3.58,4.064
wang_rousset_E18_orig_guide,4.868,5.142,5.138,4.684,4.61
wang_rousset_E18_median-sub_guide-genes,2.8,3.04,3.212,2.898,2.664
wang_rousset_E18_median-sub_guide,2.842,3.076,3.182,2.87,2.78
wang_rousset_E18_rank_guide-genes,0.06,0.07,0.07,0.06,0.056
wang_rousset_E18_rank_guide,0.06,0.07,0.07,0.06,0.066
wang_rousset_E75_orig_guide-genes,4.382,4.814,4.824,3.746,3.332
wang_rousset_E75_orig_guide,4.88,5.352,5.33,4.83,5.026
wang_rousset_E75_median-sub_guide-genes,2.924,3.198,3.174,2.826,2.782
wang_rousset_E75_median-sub_guide,2.97,3.25,3.22,2.89,2.896
wang_rousset_E75_rank_guide-genes,0.06,0.07,0.07,0.06,0.066
wang_rousset_E75_rank_guide,0.06,0.07,0.07,0.06,0.064
wang_rousset_E18_rousset_E75_orig_guide-genes,4.298,4.762,4.724,3.698,4.29
wang_rousset_E18_rousset_E75_orig_guide,4.736,5.226,5.186,4.7,4.842
wang_rousset_E18_rousset_E75_median-sub_guide-genes,2.828,3.114,3.066,2.74,2.766
wang_rousset_E18_rousset_E75_median-sub_guide,2.866,3.154,3.108,2.822,2.828
wang_rousset_E18_rousset_E75_rank_guide-genes,0.06,0.07,0.066,0.06,0.068
wang_rousset_E18_rousset_E75_rank_guide,0.06,0.07,0.068,0.06,0.068
