,linear,elnet,random_forest,random_forest_RFE,GBM
wang_orig_guide-genes,0.562,0.521,0.684,0.693,0.64
wang_orig_guide,0.475,0.415,0.599,0.576,0.488
wang_median-sub_guide-genes,0.51,0.475,0.641,0.628,0.534
wang_median-sub_guide,0.516,0.48,0.649,0.639,0.546
wang_rank_guide-genes,0.547,0.501,0.729,0.725,0.583
wang_rank_guide,0.55,0.499,0.709,0.701,0.646
rousset_E18_orig_guide-genes,0.7,0.521,0.791,0.732,0.755
rousset_E18_orig_guide,0.665,0.493,0.745,0.731,0.731
rousset_E18_median-sub_guide-genes,0.667,0.497,0.749,0.751,0.693
rousset_E18_median-sub_guide,0.653,0.505,0.752,0.738,0.688
rousset_E18_rank_guide-genes,0.691,0.486,0.785,0.788,0.745
rousset_E18_rank_guide,0.68,0.487,0.75,0.739,0.745
rousset_E75_orig_guide-genes,0.707,0.536,0.793,0.724,0.757
rousset_E75_orig_guide,0.683,0.481,0.744,0.721,0.732
rousset_E75_median-sub_guide-genes,0.69,0.498,0.735,0.73,0.706
rousset_E75_median-sub_guide,0.68,0.491,0.714,0.711,0.694
rousset_E75_rank_guide-genes,0.713,0.467,0.774,0.775,0.753
rousset_E75_rank_guide,0.704,0.467,0.785,0.783,0.749
wang_rousset_E18_orig_guide-genes,0.548,0.522,0.698,0.695,0.619
wang_rousset_E18_orig_guide,0.44,0.412,0.619,0.602,0.487
wang_rousset_E18_median-sub_guide-genes,0.492,0.454,0.606,0.593,0.519
wang_rousset_E18_median-sub_guide,0.487,0.45,0.611,0.588,0.513
wang_rousset_E18_rank_guide-genes,0.51,0.469,0.658,0.651,0.603
wang_rousset_E18_rank_guide,0.503,0.465,0.651,0.636,0.532
wang_rousset_E75_orig_guide-genes,0.542,0.512,0.694,0.691,0.704
wang_rousset_E75_orig_guide,0.457,0.411,0.618,0.609,0.473
wang_rousset_E75_median-sub_guide-genes,0.485,0.444,0.643,0.644,0.515
wang_rousset_E75_median-sub_guide,0.481,0.438,0.626,0.612,0.506
wang_rousset_E75_rank_guide-genes,0.504,0.459,0.676,0.673,0.537
wang_rousset_E75_rank_guide,0.499,0.455,0.683,0.682,0.532
wang_rousset_E18_rousset_E75_orig_guide-genes,0.547,0.504,0.706,0.693,0.619
wang_rousset_E18_rousset_E75_orig_guide,0.47,0.415,0.633,0.615,0.489
wang_rousset_E18_rousset_E75_median-sub_guide-genes,0.497,0.446,0.651,0.639,0.521
wang_rousset_E18_rousset_E75_median-sub_guide,0.492,0.442,0.635,0.614,0.517
wang_rousset_E18_rousset_E75_rank_guide-genes,0.506,0.458,0.683,0.677,0.533
wang_rousset_E18_rousset_E75_rank_guide,0.501,0.453,0.652,0.633,0.526
