,linear,elnet,random_forest,random_forest_RFE,GBM
wang_orig_guide-genes,4.696,5.346,4.252,3.482,4.198
wang_orig_guide,5.196,5.886,5.124,4.894,5.058
wang_median-sub_guide-genes,3.322,3.816,3.186,2.986,3.202
wang_median-sub_guide,3.332,3.818,3.174,3.006,3.218
wang_rank_guide-genes,0.07,0.08,0.068,0.06,0.07
wang_rank_guide,0.07,0.08,0.064,0.06,0.07
rousset_E18_orig_guide-genes,3.416,4.97,4.23,3.632,3.394
rousset_E18_orig_guide,3.716,5.354,4.922,4.842,4.114
rousset_E18_median-sub_guide-genes,2.372,3.4,2.8,2.626,2.508
rousset_E18_median-sub_guide,2.384,3.402,2.822,2.68,2.518
rousset_E18_rank_guide-genes,0.06,0.08,0.06,0.058,0.06
rousset_E18_rank_guide,0.06,0.08,0.06,0.056,0.06
rousset_E75_orig_guide-genes,3.674,5.644,4.346,3.634,3.838
rousset_E75_orig_guide,3.974,5.996,5.258,5.028,4.526
rousset_E75_median-sub_guide-genes,2.576,3.792,3.02,2.856,2.822
rousset_E75_median-sub_guide,2.61,3.83,2.892,2.678,2.82
rousset_E75_rank_guide-genes,0.05,0.08,0.06,0.056,0.06
rousset_E75_rank_guide,0.05,0.08,0.06,0.058,0.06
wang_rousset_E18_orig_guide-genes,4.812,5.246,4.476,3.686,4.394
wang_rousset_E18_orig_guide,5.276,5.784,4.952,4.716,5.198
wang_rousset_E18_median-sub_guide-genes,3.326,3.648,3.238,3.068,3.246
wang_rousset_E18_median-sub_guide,3.374,3.7,3.268,3.11,3.282
wang_rousset_E18_rank_guide-genes,0.07,0.08,0.068,0.06,0.07
wang_rousset_E18_rank_guide,0.07,0.08,0.07,0.06,0.07
wang_rousset_E75_orig_guide-genes,4.974,5.438,4.654,3.88,4.57
wang_rousset_E75_orig_guide,5.424,5.93,5.062,4.798,5.364
wang_rousset_E75_median-sub_guide-genes,3.44,3.79,3.266,3.086,3.37
wang_rousset_E75_median-sub_guide,3.494,3.848,3.31,3.132,3.402
wang_rousset_E75_rank_guide-genes,0.07,0.08,0.068,0.06,0.07
wang_rousset_E75_rank_guide,0.07,0.08,0.068,0.06,0.07
wang_rousset_E18_rousset_E75_orig_guide-genes,4.878,5.376,4.452,3.718,4.52
wang_rousset_E18_rousset_E75_orig_guide,5.31,5.87,4.944,4.67,5.276
wang_rousset_E18_rousset_E75_median-sub_guide-genes,3.34,3.678,3.136,2.936,3.288
wang_rousset_E18_rousset_E75_median-sub_guide,3.398,3.738,3.106,2.918,3.328
wang_rousset_E18_rousset_E75_rank_guide-genes,0.07,0.08,0.07,0.06,0.07
wang_rousset_E18_rousset_E75_rank_guide,0.07,0.08,0.068,0.06,0.07
