,linear,elnet,random_forest,random_forest_RFE,GBM
wang_orig_guide-genes,0.503,0.434,0.72,0.696,0.599
wang_orig_guide,0.411,0.309,0.685,0.643,0.459
wang_median-sub_guide-genes,0.386,0.28,0.696,0.661,0.437
wang_median-sub_guide,0.386,0.281,0.69,0.65,0.435
wang_rank_guide-genes,0.423,0.304,0.8,0.781,0.535
wang_rank_guide,0.422,0.308,0.798,0.78,0.53
rousset_E18_orig_guide-genes,0.624,0.365,0.744,0.651,0.703
rousset_E18_orig_guide,0.579,0.283,0.689,0.626,0.659
rousset_E18_median-sub_guide-genes,0.537,0.228,0.776,0.741,0.607
rousset_E18_median-sub_guide,0.534,0.228,0.77,0.693,0.607
rousset_E18_rank_guide-genes,0.563,0.253,0.852,0.843,0.695
rousset_E18_rank_guide,0.562,0.253,0.849,0.802,0.693
rousset_E75_orig_guide-genes,0.646,0.355,0.836,0.722,0.714
rousset_E75_orig_guide,0.613,0.279,0.745,0.69,0.657
rousset_E75_median-sub_guide-genes,0.571,0.31,0.824,0.784,0.633
rousset_E75_median-sub_guide,0.565,0.297,0.834,0.822,0.633
rousset_E75_rank_guide-genes,0.604,0.289,0.849,0.81,0.704
rousset_E75_rank_guide,0.601,0.29,0.829,0.791,0.695
wang_rousset_E18_orig_guide-genes,0.479,0.435,0.704,0.682,0.587
wang_rousset_E18_orig_guide,0.382,0.302,0.71,0.67,0.436
wang_rousset_E18_median-sub_guide-genes,0.361,0.284,0.679,0.652,0.41
wang_rousset_E18_median-sub_guide,0.353,0.268,0.661,0.612,0.401
wang_rousset_E18_rank_guide-genes,0.379,0.291,0.765,0.742,0.483
wang_rousset_E18_rank_guide,0.374,0.281,0.742,0.697,0.478
wang_rousset_E75_orig_guide-genes,0.48,0.431,0.71,0.678,0.589
wang_rousset_E75_orig_guide,0.391,0.316,0.722,0.667,0.448
wang_rousset_E75_median-sub_guide-genes,0.364,0.285,0.69,0.675,0.42
wang_rousset_E75_median-sub_guide,0.356,0.267,0.672,0.664,0.406
wang_rousset_E75_rank_guide-genes,0.385,0.295,0.769,0.751,0.482
wang_rousset_E75_rank_guide,0.38,0.287,0.753,0.709,0.478
wang_rousset_E18_rousset_E75_orig_guide-genes,0.479,0.417,0.733,0.691,0.588
wang_rousset_E18_rousset_E75_orig_guide,0.391,0.296,0.74,0.699,0.452
wang_rousset_E18_rousset_E75_median-sub_guide-genes,0.37,0.284,0.712,0.676,0.424
wang_rousset_E18_rousset_E75_median-sub_guide,0.361,0.265,0.702,0.679,0.41
wang_rousset_E18_rousset_E75_rank_guide-genes,0.382,0.287,0.761,0.739,0.48
wang_rousset_E18_rousset_E75_rank_guide,0.375,0.28,0.752,0.738,0.474
