Name	Length	CAI	%G+C	%G+C(1)	%G+C(2)	%G+C(3)	Nc
b0001	66	0.874	51.5	22.7	68.2	63.6	37.8
b0002	2463	0.728	53.1	61.3	40.3	57.6	47.4
b0003	933	0.698	56.3	62.7	43.7	62.4	53.1
b0004	1287	0.75	52.8	61.3	38.2	59	45.2
b0005	297	0.671	53.9	69.7	44.4	47.5	51.5
b0006	777	0.731	49.7	54.1	34.7	60.2	44.7
b0007	1431	0.699	53.3	54.7	45.9	59.3	47.5
b0008	954	0.767	52	60.4	38.4	57.2	35.8
b0009	588	0.716	54.4	62.8	43.4	57.1	51.8
b0010	567	0.781	53.1	55.6	39.7	64	38.5
b0011	714	0.719	50.8	60.9	35.3	56.3	50.2
b0012	486	0.706	48.1	29.6	58	56.8	61
b0013	405	0.769	48.9	48.1	41.5	57	44.4
b0014	1917	0.735	51.1	64.2	36.9	52.3	33.4
b0015	1131	0.743	55.2	66.3	43.2	56	42.2
b0016	1113	0.573	51.9	63.3	48.2	44.2	57.9
b0018	210	0.592	51.4	54.3	37.1	62.9	51.6
b4412	153	0.619	52.9	56.9	35.3	66.7	46.3
b0019	1167	0.687	51.4	57.1	41.9	55.3	53
b0020	906	0.691	47.5	56.6	36.4	49.3	54.6
b0021	504	0.664	54.6	57.7	39.9	66.1	46
b0022	276	0.672	52.9	50	54.3	54.3	46.6
b0023	264	0.647	46.6	53.4	39.8	46.6	31
b0024	219	0.635	48.9	50.7	46.6	49.3	58.4
b0025	942	0.716	53.6	66.6	40.1	54.1	48.1
b0026	2817	0.763	55.8	62.2	41.2	63.9	38
b0027	495	0.745	53.5	55.2	39.4	66.1	49.4
b0028	450	0.766	54.4	62.7	39.3	61.3	39.7
b0029	951	0.782	55.1	65.3	38.8	61.2	38.7
b0030	915	0.688	56.3	63.9	44.9	60	52.2
b0031	822	0.731	53.4	64.6	43.8	51.8	45
b0032	1149	0.739	53.4	60.6	41.5	58	48.5
b0033	3222	0.791	56.3	63.5	40.2	65.1	35.6
b0034	396	0.649	46	51.5	34.8	51.5	61
b0035	591	0.691	55	61.4	42.1	61.4	46.8
b0036	786	0.787	54.1	64.1	43.5	54.6	39.8
b0037	1554	0.736	51	56	39.2	57.9	47.4
b0038	1218	0.761	52.6	57.1	39.9	60.8	41.9
b0039	1143	0.762	53.9	57.5	40.2	64	42
b0040	1515	0.713	51.8	48.1	42.4	65	46.3
b0041	771	0.734	52.5	64.6	40.1	52.9	47.4
b0042	942	0.754	56.7	62.1	43.9	64	42
b0043	1287	0.74	54.9	63.9	39.9	61.1	44.8
b0044	288	0.753	56.9	65.6	38.5	66.7	39.1
b0045	1332	0.709	53.3	52.9	43.5	63.5	48.4
b0046	531	0.742	54.6	63.3	39.5	61	52
b0047	1863	0.758	55.5	63.1	40.1	63.3	43.2
b0048	480	0.753	52.7	58.8	40	59.4	48.2
b0049	843	0.75	55.8	63	43.4	60.9	45.3
b0050	378	0.663	51.9	60.3	39.7	55.6	48.5
b0051	822	0.748	53	59.9	37.6	61.7	44.3
b0052	990	0.682	56.4	67.3	43	58.8	52.6
b0053	1287	0.762	53.8	60.8	37.8	62.9	40.6
b0054	2355	0.737	51.4	54.1	39.6	60.4	46.7
b0055	816	0.768	52.7	59.9	39.3	58.8	45.2
b0056	651	0.623	45.2	45.6	34.1	55.8	52.6
b0057	159	0.663	34	45.3	28.3	28.3	40.5
b0058	660	0.768	53.9	62.3	40.9	58.6	42.6
b0059	2907	0.791	54.9	66.8	37.4	60.6	37.8
b0060	2352	0.719	55.4	64	40.4	61.6	45.2
b0061	696	0.739	55.3	60.8	40.1	65.1	42.9
b0062	1503	0.772	55.5	61.5	38.5	66.5	39.3
b0063	1701	0.737	58	64.9	47.6	61.6	41.7
b0064	879	0.702	52.6	60.4	40.3	57	47.6
b0065	765	0.77	53.9	54.9	42.7	63.9	42.9
b0066	699	0.703	57.1	58.8	44.2	68.2	44.1
b0067	1611	0.738	58.4	62.4	43.2	69.6	42.5
b0068	984	0.734	53.3	58.8	40.9	60.1	44.4
b0069	1656	0.696	54.9	61.8	40.4	62.5	46.1
b4662	132	0.708	47	45.5	43.2	52.3	41
b0070	1179	0.642	48.5	50.9	43.3	51.4	54.8
b0071	606	0.784	51.5	58.9	35.1	60.4	42.5
b0072	1401	0.796	55.7	62.1	44.5	60.6	38.1
b0073	1092	0.772	55.5	63.5	42.6	60.4	42
b0074	1572	0.774	53	60.1	37.6	61.3	41.6
b0075	87	0.546	47.1	55.2	41.4	44.8	46.8
b0076	945	0.7	45.7	57.8	36.2	43.2	50.3
b4726	45	0.762	31.1	33.3	26.7	33.3	20
b0077	1725	0.682	52.9	61.4	39.8	57.6	50
b0078	492	0.699	50.2	59.8	38.4	52.4	53.5
b0080	1005	0.706	54.9	66.9	40.9	57	47.1
b0081	459	0.655	52.1	62.7	36.6	56.9	61
b0082	942	0.701	55.2	65.9	43.3	56.4	49.7
b0083	366	0.669	50.3	61.5	35.2	54.1	56.5
b0084	1767	0.74	54	58.9	44.3	58.7	46
b0085	1488	0.754	56.6	68.3	43.5	57.9	42.9
b0086	1359	0.727	55.1	63.4	44.6	57.4	43.1
b0087	1083	0.757	53.4	58.2	38	64	41.1
b0088	1317	0.763	54.9	65.1	42.6	56.9	44.2
b0089	1245	0.745	53	54.9	41	63.1	43.5
b0090	1068	0.711	56.1	67.4	47.5	53.4	48.6
b0091	1476	0.741	54.7	65.9	42.1	56.3	42.1
b0092	921	0.69	51.6	61.2	42.7	50.8	46
b0093	831	0.708	53.3	60.3	40.1	59.6	46.4
b0094	1263	0.691	52.1	64.1	39.2	53	48.5
b0095	1152	0.701	54.2	66.9	41.1	54.4	44.5
b0096	918	0.749	51.1	58.2	37.9	57.2	43.4
b0097	513	0.677	54	60.2	48.5	53.2	50.9
b0098	2706	0.766	52.4	63.6	36.5	57.1	38.3
b0099	390	0.705	49.2	63.1	35.4	49.2	43.6
